mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0711575508117677,0.04477701660019292,0.07460007667541504,0.0014978300594185173,l2,60,"{'penalty': 'l2', 'C': 60}",0.49095743899393246,0.4909610454482014,0.4909536996907436,0.4909536996907436,0.4909610454482014,0.4909573858543645,3.285230049664264e-06,1
0.0162045955657959,0.0004014364285378551,0.0,0.0,l1,50,"{'penalty': 'l1', 'C': 50}",,,,,,,,6
2.013055610656738,0.012972715654809477,0.07365975379943848,0.0005474800510758582,l2,10,"{'penalty': 'l2', 'C': 10}",0.49095743899393246,0.4909610454482014,0.4909536996907436,0.4909536996907436,0.4909610454482014,0.4909573858543645,3.285230049664264e-06,1
2.0264429092407226,0.02063987183853069,0.0730013370513916,0.0008940958833031101,l2,50,"{'penalty': 'l2', 'C': 50}",0.49095743899393246,0.4909610454482014,0.4909536996907436,0.4909536996907436,0.4909610454482014,0.4909573858543645,3.285230049664264e-06,1
0.013600635528564452,0.0013565293864325528,0.0,0.0,l1,30,"{'penalty': 'l1', 'C': 30}",,,,,,,,6
2.0208405017852784,0.024045172419246155,0.07389435768127442,0.0004829109930044703,l2,20,"{'penalty': 'l2', 'C': 20}",0.49095743899393246,0.4909610454482014,0.4909536996907436,0.4909536996907436,0.4909610454482014,0.4909573858543645,3.285230049664264e-06,1
0.01340022087097168,0.0013565083523554196,0.0,0.0,l1,10,"{'penalty': 'l1', 'C': 10}",,,,,,,,6
0.013200712203979493,0.00039997166204694694,0.0,0.0,l1,60,"{'penalty': 'l1', 'C': 60}",,,,,,,,6
1.9938436985015868,0.010185426211427097,0.07320032119750977,0.00040049877942084996,l2,30,"{'penalty': 'l2', 'C': 30}",0.49095743899393246,0.4909610454482014,0.4909536996907436,0.4909536996907436,0.4909610454482014,0.4909573858543645,3.285230049664264e-06,1
0.013799285888671875,0.0015980720733439512,0.0,0.0,l1,40,"{'penalty': 'l1', 'C': 40}",,,,,,,,6
