mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.1608373641967775,0.07358905794628803,0.07600116729736328,0.0010954963389334033,l2,60,"{'penalty': 'l2', 'C': 60}",0.4916773179367388,0.49168092967906385,0.4916735839216061,0.4916735839216061,0.4916735839216061,0.4916757998761242,2.94451182738923e-06,1
0.015400505065917969,0.0004899014056540585,0.0,0.0,l1,50,"{'penalty': 'l1', 'C': 50}",,,,,,,,6
2.095931386947632,0.05607204991415875,0.0744009017944336,0.0007998943684175714,l2,10,"{'penalty': 'l2', 'C': 10}",0.4916773179367388,0.49168092967906385,0.4916735839216061,0.4916735839216061,0.4916735839216061,0.4916757998761242,2.94451182738923e-06,1
2.0486348152160643,0.04279212014123736,0.07400102615356445,0.0006326358965221238,l2,50,"{'penalty': 'l2', 'C': 50}",0.4916773179367388,0.49168092967906385,0.4916735839216061,0.4916735839216061,0.4916735839216061,0.4916757998761242,2.94451182738923e-06,1
0.012800121307373047,0.0004001383949628593,0.0,0.0,l1,30,"{'penalty': 'l1', 'C': 30}",,,,,,,,6
2.06357102394104,0.039007343968424465,0.07359991073608399,0.0008010177724802486,l2,20,"{'penalty': 'l2', 'C': 20}",0.4916773179367388,0.49168092967906385,0.4916735839216061,0.4916735839216061,0.4916735839216061,0.4916757998761242,2.94451182738923e-06,1
0.015200376510620117,0.001470100001894701,0.0,0.0,l1,10,"{'penalty': 'l1', 'C': 10}",,,,,,,,6
0.014400434494018555,0.000489726187095153,0.0,0.0,l1,60,"{'penalty': 'l1', 'C': 60}",,,,,,,,6
2.05643515586853,0.044094385388970724,0.07380008697509766,0.0007470546748824726,l2,30,"{'penalty': 'l2', 'C': 30}",0.4916773179367388,0.49168092967906385,0.4916735839216061,0.4916735839216061,0.4916735839216061,0.4916757998761242,2.94451182738923e-06,1
0.013600301742553712,0.0013563958248114347,0.0,0.0,l1,40,"{'penalty': 'l1', 'C': 40}",,,,,,,,6
