mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.164821243286133,0.025686345776739245,0.07500157356262208,0.001264819407634383,l2,60,"{'penalty': 'l2', 'C': 60}",0.49119250150586924,0.4911887639293926,0.4911887639293926,0.49119610968685035,0.49119610968685035,0.49119244974767096,3.2852245362233067e-06,6
9.940983772277832,0.7044418801339997,0.0786015510559082,0.0007996321346498243,l1,50,"{'penalty': 'l1', 'C': 50}",0.5935842625648259,0.5929421962345647,0.5940220225808585,0.5917668750413199,0.5932507180477915,0.593113214893872,0.000762706079427186,1
1.1072201251983642,0.00945337563249619,0.07360162734985351,0.0004896094792051977,l2,10,"{'penalty': 'l2', 'C': 10}",0.49119250150586924,0.4911887639293926,0.4911887639293926,0.49119610968685035,0.49119610968685035,0.49119244974767096,3.2852245362233067e-06,6
1.1106204986572266,0.008731755767488136,0.07420134544372559,0.0003999471771024199,l2,50,"{'penalty': 'l2', 'C': 50}",0.49119250150586924,0.4911887639293926,0.4911887639293926,0.49119610968685035,0.49119610968685035,0.49119244974767096,3.2852245362233067e-06,6
9.707580184936523,0.243863860265694,0.08060083389282227,0.003772914618134585,l1,30,"{'penalty': 'l1', 'C': 30}",0.5935842625648259,0.5929421962345647,0.5940220225808585,0.5917668750413199,0.5932507180477915,0.593113214893872,0.000762706079427186,1
1.1026198387145996,0.012466967119310371,0.07360148429870605,0.0004897846048886376,l2,20,"{'penalty': 'l2', 'C': 20}",0.49119250150586924,0.4911887639293926,0.4911887639293926,0.49119610968685035,0.49119610968685035,0.49119244974767096,3.2852245362233067e-06,6
9.901974868774413,0.39002705036418717,0.07760095596313477,0.0004899793579063824,l1,10,"{'penalty': 'l1', 'C': 10}",0.5935842625648259,0.5929421962345647,0.5940220225808585,0.5917668750413199,0.5932507180477915,0.593113214893872,0.000762706079427186,1
9.487162733078003,0.3578744851246386,0.08300232887268066,0.01005954720665169,l1,60,"{'penalty': 'l1', 'C': 60}",0.5935842625648259,0.5929421962345647,0.5940220225808585,0.5917668750413199,0.5932507180477915,0.593113214893872,0.000762706079427186,1
1.09921875,0.004707314529476216,0.07360105514526367,0.000490018183218949,l2,30,"{'penalty': 'l2', 'C': 30}",0.49119250150586924,0.4911887639293926,0.4911887639293926,0.49119610968685035,0.49119610968685035,0.49119244974767096,3.2852245362233067e-06,6
9.6691659450531,0.5211576268039912,0.07820382118225097,0.0009839216219749074,l1,40,"{'penalty': 'l1', 'C': 40}",0.5935842625648259,0.5929421962345647,0.5940220225808585,0.5917668750413199,0.5932507180477915,0.593113214893872,0.000762706079427186,1
